feature,rf,gbr,ridge_abs,combined
pmm_lag3,0.004527650893711405,0.00044222901328508623,0.19934116507218708,0.005374494425038218
buoy_wvht_lag2,0.0016669437978340561,0.001274603112437024,0.10420997590418024,0.005081317927763343
buoy_pres_lag2,0.005802483692016452,0.002970849665064438,-0.07145462844846054,0.0050166149703762
nino12_anom_lag3,0.006862558174354792,0.0008252643833042275,-0.17795426237726697,0.004723033069814269
index6_120w_mjo_lag1,0.0049557345162121215,0.012877822236668524,-0.00470588110805226,0.0045890172216968145
index5_160e_mjo_lag2,0.0043096148743049815,7.459538678787812e-05,0.15791549383016887,0.004286803660492367
buoy_wvht_lag0,0.0015935536510490534,0.0005951747262337456,0.14488204098629562,0.004226809680721539
index5_160e_mjo_lag3,0.00497813782855399,0.0013644024684269212,0.07448504665686495,0.004198533308843055
index4_140e_mjo_lag2,0.0033906988295386957,0.00016905861556138936,0.15791549383016928,0.004070839594967682
solar_lag3,0.0051126339753875035,0.0013576171645240896,0.09621236580623403,0.004016427752416565
index7_40w_mjo_lag1,0.008843818571293283,0.005259428974500495,-0.0047058811080523755,0.003982856080570263
hgt500_gradient_lag1,0.004778154264512017,0.0005833727769385278,0.11125691272517374,0.003710893441354771
index4_140e_mjo_lag3,0.005180085434164355,0.002578764879635216,0.07448504665686462,0.0032871143745005047
epo_lag2,0.00708800859102953,0.0039834062492303925,-0.009840922367594523,0.0032788444629460603
solar_lag2,0.0051743277190922235,0.00023430755290916477,-0.060813580757847194,0.003236283210645789
epo_lag0,0.0033517417963739135,0.0036542241725728533,-0.059141694141683285,0.0032292391803152307
index6_120w_mjo_lag0,0.00393159693184073,0.0007194644299456226,-0.04398638899495748,0.003068936776804276
np_lag0,0.003980199840730137,0.0020069712704984476,-0.11919676946390576,0.0030008589251688737
nino12_anom_lag0,0.0038440342738628006,0.005101271034025614,-0.015176941643699357,0.002705758682526291
index4_140e_mjo_lag1,0.004378653181775203,0.0012875213029086043,-0.009346256366202867,0.002685355796729677
nino12_anom_lag2,0.0034764333243076937,0.0010221785485048397,-0.08410694522220327,0.0024659409854455748
index7_40w_mjo_lag0,0.003644994559886506,0.001338773139233423,-0.043986388994957465,0.002417856027663413
index5_160e_mjo_lag0,0.005764660055536207,0.0015217184863664463,-0.017672176014646462,0.0022701549844176758
slp_nepac_anom_lag0,0.004224080496566839,0.0002869273638647241,0.012979432321918285,0.0022471138627902037
np_x_pna_lag0,0.004212188096262763,0.0030895711571469666,0.011621790720654753,0.0021679999235285547
index4_140e_mjo_lag0,0.0061200341975640145,0.0006740792010391589,-0.017672176014646206,0.0021516502470648588
index5_160e_mjo_lag1,0.004525499621736814,0.001854989225564092,-0.009346256366202867,0.0019067988659948755
solar_lag0,0.0035727228208642424,0.00037604558133845603,0.007259991565197533,0.0018613059127935677
buoy_wvht_lag3,0.0009426270049296745,0.001080123452602455,0.008262013693265078,0.001628912513091439
buoy_wvht_lag1,0.001466270831146829,0.0002649690337995172,0.07127307569818131,0.0014702606703846709
