label,rmse,rmse_clim,skill,corr,bias,n
Ridge+GBR | all | clim=60%,11.28183995430959,11.484905413049841,0.017681073673407544,0.8626739876772378,0.010092804558269108,222
Ridge+RF | core4 | clim=60%,12.964030557160005,11.484905413049841,-0.12878862218834586,0.8371333625209124,0.07213106487456145,222
Ridge+KNN | core6 | clim=60%,12.968279803439865,11.484905413049841,-0.12915860749750063,0.8318279603720504,-0.2964903224620947,222
ensemble | core6 | clim=50%,12.974812222325973,11.484905413049841,-0.1297273904914542,0.8418473215399316,-0.2990194081309525,222
ElasticNet | core6 | clim=60%,13.051954880639101,11.484905413049841,-0.13644426412155597,0.8232902303452385,0.03575282977052652,222
Ridge(alpha=50) | core6 | clim=60%,13.058308349155858,11.484905413049841,-0.13699746576216665,0.8318838883645923,0.021625832625097985,222
Ridge+RF+GBR | core8 | clim=40%,13.060137010679986,11.484905413049841,-0.13715668879956744,0.845074814271338,0.11792064735325525,222
Ridge(alpha=10) | core6 | clim=60%,13.063755012300467,11.484905413049841,-0.13747171112586098,0.8211024494660125,0.032047421438360146,222
Ridge(alpha=500) | all | clim=50%,13.069775357805456,11.484905413049841,-0.13799590747650314,0.8348401975546609,0.004554464495694077,222
Ridge(alpha=50) | all | clim=35%,13.085749913976358,11.484905413049841,-0.13938682499792643,0.7956756875775238,-0.07978235733046546,222
Ridge(alpha=100) | core6 | clim=60%,13.08692475043183,11.484905413049841,-0.1394891189579741,0.8368058251107502,0.017005109517487682,222
Ridge+BayesRidge | core6 | clim=60%,13.102576548570907,11.484905413049841,-0.14085193367661275,0.8364184029086759,0.018174235285197682,222
Ridge+RF+GBR+XGB | core6 | clim=40%,13.10554114674067,11.484905413049841,-0.14111006363616752,0.827631875703841,0.12746248068400234,222
Ridge+RF | all | clim=35%,13.105593009499628,11.484905413049841,-0.1411145793685218,0.8292967687887257,0.10680808681603793,222
ElasticNet | all | clim=35%,13.114001997778479,11.484905413049841,-0.14184675677673053,0.786418542554765,-0.17066334549915751,222
BayesRidge | core6 | clim=60%,13.118394942970841,11.484905413049841,-0.1422292540663792,0.8360166482908805,0.019343361052914787,222
Ridge(alpha=200) | core6 | clim=60%,13.130151163461303,11.484905413049841,-0.143252877689531,0.8413865599387099,0.014162565392300763,222
Ridge+RF | core6 | clim=50%,13.133323105870183,11.484905413049841,-0.14352906127962628,0.8462071506313606,0.08952904241453297,222
Ridge(alpha=500) | core8 | clim=60%,13.144824431579856,11.484905413049841,-0.1445304910081293,0.8511118884288356,-0.003173692835037656,222
Ridge+RF+GBR | all | clim=25%,13.147323316900767,11.484905413049841,-0.14474807097340014,0.8240171702680259,0.11158364318958647,222
BayesRidge | all | clim=35%,13.1686656599052,11.484905413049841,-0.14660636603434019,0.7936819305888915,-0.07690020698760947,222
Ridge+GBR | core8 | clim=40%,13.177289891135532,11.484905413049841,-0.14735728482036103,0.8396779018245953,0.08688045870561467,222
Ridge+GBR | all | clim=20%,13.190746273207578,11.484905413049841,-0.14852894288702267,0.8061458993778767,0.020185609116545322,222
Ridge+KNN | core4 | clim=60%,13.199412210751118,11.484905413049841,-0.14928349307545474,0.8292521936291117,0.05135624007097306,222
Ridge+RF+GBR+XGB | core8 | clim=35%,13.212351301033376,11.484905413049841,-0.15041011012774264,0.8288386631691254,0.12117977409052116,222
Ridge(alpha=500) | core6 | clim=60%,13.213862275943288,11.484905413049841,-0.1505416719347903,0.8455332509432434,0.012400930430306545,222
ensemble | all | clim=30%,13.224184053880908,11.484905413049841,-0.15144039748510196,0.8270127320202796,-0.9051851012289163,222
Ridge+BayesRidge | all | clim=35%,13.233822232525469,11.484905413049841,-0.1522796014922685,0.7952524890635881,-0.060299945417039424,222
Ridge(alpha=10) | core8 | clim=50%,13.263029043755504,11.484905413049841,-0.15482266216012985,0.8231901152890806,-0.02581278763507555,222
Ridge+RF+GBR+XGB | all | clim=20%,13.263980204009423,11.484905413049841,-0.15490548045246322,0.8152124804354067,0.02857123493430791,222
ElasticNet | core8 | clim=50%,13.269408153555592,11.484905413049841,-0.15537809640801137,0.8261509372143089,-0.018063199988748835,222
Ridge(alpha=10) | all | clim=35%,13.280184833930232,11.484905413049841,-0.15631643068130852,0.7788970277510482,-0.18801902932326442,222
